food,foodLabel,subclass_of,subclass_ofLabel
http://www.wikidata.org/entity/Q20767168,Q20767168,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q21546392,vitlök,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q21546392,vitlök,http://www.wikidata.org/entity/Q207123,ört
http://www.wikidata.org/entity/Q22806705,Q22806705,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q22806705,Q22806705,http://www.wikidata.org/entity/Q23041045,Sparris
http://www.wikidata.org/entity/Q23012379,Q23012379,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q23041045,Sparris,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q23041430,kronärtskocka,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q23900272,Q23900272,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q23900272,Q23900272,http://www.wikidata.org/entity/Q729496,Q729496
http://www.wikidata.org/entity/Q23900272,Q23900272,http://www.wikidata.org/entity/Q887236,Q887236
http://www.wikidata.org/entity/Q25172229,Q25172229,http://www.wikidata.org/entity/Q7533,squash
http://www.wikidata.org/entity/Q25172229,Q25172229,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q28432778,Q28432778,http://www.wikidata.org/entity/Q3384,Brassica rapa
http://www.wikidata.org/entity/Q28432778,Q28432778,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q28966859,Q28966859,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q28966859,Q28966859,http://www.wikidata.org/entity/Q748611,Q748611
http://www.wikidata.org/entity/Q32979618,Q32979618,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q32979618,Q32979618,http://www.wikidata.org/entity/Q183319,stamknöl
http://www.wikidata.org/entity/Q32979618,Q32979618,http://www.wikidata.org/entity/Q3314483,frukt
http://www.wikidata.org/entity/Q32979618,Q32979618,http://www.wikidata.org/entity/Q12046531,Q12046531
http://www.wikidata.org/entity/Q35075688,Q35075688,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q35075688,Q35075688,http://www.wikidata.org/entity/Q23041045,Sparris
http://www.wikidata.org/entity/Q36814998,Q36814998,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q36823285,Q36823285,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q36823285,Q36823285,http://www.wikidata.org/entity/Q33971,blad
http://www.wikidata.org/entity/Q36823285,Q36823285,http://www.wikidata.org/entity/Q134267,stjälk
http://www.wikidata.org/entity/Q36834781,Q36834781,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q36836253,Q36836253,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q46809820,Q46809820,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q56395863,Q56395863,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q56395863,Q56395863,http://www.wikidata.org/entity/Q13163235,Q13163235
http://www.wikidata.org/entity/Q66604108,Q66604108,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q66768684,Q66768684,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q66768684,Q66768684,http://www.wikidata.org/entity/Q2964500,Q2964500
http://www.wikidata.org/entity/Q67206407,Q67206407,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q67206407,Q67206407,http://www.wikidata.org/entity/Q188748,lök
http://www.wikidata.org/entity/Q67448115,Q67448115,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q67448115,Q67448115,http://www.wikidata.org/entity/Q20638126,tomat
http://www.wikidata.org/entity/Q67584925,Q67584925,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q67584925,Q67584925,http://www.wikidata.org/entity/Q622440,antipasto
http://www.wikidata.org/entity/Q67584925,Q67584925,http://www.wikidata.org/entity/Q1503967,pickels
http://www.wikidata.org/entity/Q67584925,Q67584925,http://www.wikidata.org/entity/Q3687258,Q3687258
http://www.wikidata.org/entity/Q67584925,Q67584925,http://www.wikidata.org/entity/Q23041430,kronärtskocka
http://www.wikidata.org/entity/Q67587611,Q67587611,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q67587611,Q67587611,http://www.wikidata.org/entity/Q978399,soltorkade tomater
http://www.wikidata.org/entity/Q67587611,Q67587611,http://www.wikidata.org/entity/Q1503784,Saltning
http://www.wikidata.org/entity/Q68185511,Q68185511,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q68185511,Q68185511,http://www.wikidata.org/entity/Q622440,antipasto
http://www.wikidata.org/entity/Q68185511,Q68185511,http://www.wikidata.org/entity/Q978399,soltorkade tomater
http://www.wikidata.org/entity/Q68185511,Q68185511,http://www.wikidata.org/entity/Q1503967,pickels
http://www.wikidata.org/entity/Q68185511,Q68185511,http://www.wikidata.org/entity/Q3687258,Q3687258
http://www.wikidata.org/entity/Q68219463,Q68219463,http://www.wikidata.org/entity/Q11004,grönsak
http://www.wikidata.org/entity/Q68219463,Q68219463,http://www.wikidata.org/entity/Q14080,Palmer
http://www.wikidata.org/entity/Q68353770,Q68353770,http://www.wikidata.org/entity/Q11004,grönsak
