food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q1139389,Dal,http://www.wikidata.org/entity/Q41415,soup,,,,
http://www.wikidata.org/entity/Q1140186,Danish pastry,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1140186,Danish pastry,http://www.wikidata.org/entity/Q198916,laminated dough,,,,
http://www.wikidata.org/entity/Q1140567,pineapple bun,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1140567,pineapple bun,http://www.wikidata.org/entity/Q7655635,sweet roll,,,,
http://www.wikidata.org/entity/Q1140567,pineapple bun,http://www.wikidata.org/entity/Q13377687,bun,,,,
http://www.wikidata.org/entity/Q1141033,jajangmyeon,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1141033,jajangmyeon,http://www.wikidata.org/entity/Q192874,noodle,,,,
http://www.wikidata.org/entity/Q1141033,jajangmyeon,http://www.wikidata.org/entity/Q18679685,pasta dish,,,,
http://www.wikidata.org/entity/Q1142029,Crumpet,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1142029,Crumpet,http://www.wikidata.org/entity/Q666242,flatbread,,,,
http://www.wikidata.org/entity/Q1142539,Crêpe Suzette,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1142939,cuberdon,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1142939,cuberdon,http://www.wikidata.org/entity/Q185583,candy,,,,
http://www.wikidata.org/entity/Q1142998,Tarasari,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1144935,curry powder,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1144935,curry powder,http://www.wikidata.org/entity/Q42527,spice,,,,
http://www.wikidata.org/entity/Q1144935,curry powder,http://www.wikidata.org/entity/Q1521067,spice mix,,,,
http://www.wikidata.org/entity/Q1146928,Puri,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1146928,Puri,http://www.wikidata.org/entity/Q7802,bread,,,,
http://www.wikidata.org/entity/Q1150150,Taralli,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1150150,Taralli,http://www.wikidata.org/entity/Q856330,cracker,,,,
http://www.wikidata.org/entity/Q1157769,Daktyla,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1157769,Daktyla,http://www.wikidata.org/entity/Q7802,bread,,,,
http://www.wikidata.org/entity/Q1160522,gumbo,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1160522,gumbo,http://www.wikidata.org/entity/Q2920963,stew,,,,
http://www.wikidata.org/entity/Q1188066,Mohinga,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1188066,Mohinga,http://www.wikidata.org/entity/Q41415,soup,,,,
http://www.wikidata.org/entity/Q1188066,Mohinga,http://www.wikidata.org/entity/Q5454668,fish soup,,,,
http://www.wikidata.org/entity/Q1188066,Mohinga,http://www.wikidata.org/entity/Q18679149,fish dish,,,,
http://www.wikidata.org/entity/Q1188380,yaki udon,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1188380,yaki udon,http://www.wikidata.org/entity/Q471861,udon,,,,
http://www.wikidata.org/entity/Q1188729,mie goreng,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1197400,crouton,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1197400,crouton,http://www.wikidata.org/entity/Q4498085,bakery product,,,,
http://www.wikidata.org/entity/Q1208221,rolled oats,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1208221,rolled oats,http://www.wikidata.org/entity/Q768267,breakfast cereal,,,,
http://www.wikidata.org/entity/Q1219287,bara brith,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1219287,bara brith,http://www.wikidata.org/entity/Q21597557,fruit bread,,,,
http://www.wikidata.org/entity/Q1226651,wafer,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1226651,wafer,http://www.wikidata.org/entity/Q13270,biscuit,,,,
http://www.wikidata.org/entity/Q1236200,Eccles cake,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1236200,Eccles cake,http://www.wikidata.org/entity/Q13276,cake,,,,
http://www.wikidata.org/entity/Q1242466,ganache,http://www.wikidata.org/entity/Q195,chocolate,,,,
http://www.wikidata.org/entity/Q1242466,ganache,http://www.wikidata.org/entity/Q2095,food,,,,
http://www.wikidata.org/entity/Q1244334,tetilla cheese,http://www.wikidata.org/entity/Q2095,food,,,,
