food,foodLabel,subclass_of,subclass_ofLabel,serving_temperature,serving_temperatureLabel,color,colorLabel
http://www.wikidata.org/entity/Q776180,Q776180,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q778383,Q778383,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q778383,Q778383,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q832472,Kinesiska viner,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q832472,Kinesiska viner,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q833872,Tyska viner,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q833872,Tyska viner,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q918446,Nyzeeländska viner,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q918446,Nyzeeländska viner,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q931087,Q931087,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q931087,Q931087,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q958011,nattvardsvin,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q969280,Q969280,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q969280,Q969280,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q984994,Q984994,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q984994,Q984994,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q1054023,Ungerska viner,http://www.wikidata.org/entity/Q282,vin,,,,
http://www.wikidata.org/entity/Q1054023,Ungerska viner,http://www.wikidata.org/entity/Q253140,Q253140,,,,
http://www.wikidata.org/entity/Q1058490,Passito,http://www.wikidata.org/entity/Q282,vin,,,,
